time,CAN_Rx_Error
1585358398,0
1585358484,0
1585358527,0
1585359376,0
1585359477,0
1585359664,0
1585359908,0
1585359980,0
1585360023,0
1585360095,0
1585360153,0
1585360224,0
1585360268,0
1585360325,0
1585360383,0
1585360440,0
1585360498,0
1585360570,0
1585360627,0
1585360699,0
1585360757,0
1585360800,0
1585360857,0
1585363877,0
1585363978,0
1585364050,0
1585364122,0
1585364280,0
1585365790,0
1585365847,0
1585365919,0
1585365963,0
1585366020,0
1585366078,0
1585366164,0
1585366221,0
1585366279,0
1585366322,0
1585366380,0
1585366437,0
1585366509,0
1585366638,0
1585366696,0
1585366739,0
1585366811,0
1585371744,0
1585371787,0
1585371844,0
1585371916,0
1585371959,0
1585372017,0
1585372089,0
1585372161,0
1585372204,0
1585372261,0
1585372319,0
1585372391,0
1585372448,0
1585372506,0
1585372578,0
1585372635,0
1585372679,0
1585376576,0
1585376648,0
1585376763,0
1585376820,0
1585376878,0
1585376950,0
1585377683,0
1585377741,0
1585377798,0
1585377841,0
1585377899,0
1585377956,0
1585378043,0
1585378086,0
1585378143,0
1585378215,0
1585378316,0
1585378388,0
1585378460,0
1585382458,0
1585382530,0
1585382602,0
1585382645,0
1585382702,0
1585382817,0
1585383623,0
1585383666,0
1585383723,0
1585383781,0
1585383853,0
1585383896,0
1585383968,0
1585388469,0
1585388527,0
1585394409,0
1585395358,0
1585400348,0
1585400535,0
1585404850,0
1585406043,0
1585406115,0
1585406230,0
1585406288,0
1585406345,0
1585406403,0
1585406460,0
1585409107,0
1585410617,0
1585410674,0
1585410717,0
1585410861,0
1585410904,0
1585410962,0
1585411019,0
1585413248,0
1585413306,0
1585416369,0
1585416441,0
1585416484,0
1585416556,0
1585416614,0
1585416729,0
1585416786,0
1585416858,0
1585418656,0
1585418757,0
1585418843,0
1585418886,0
1585418944,0
1585419001,0
1585419073,0
1585419131,0
1585419188,0
1585419246,0
1585422251,0
1585422309,0
1585422366,0
1585422438,0
1585422496,0
1585422539,0
1585422611,0
1585422668,0
1585422726,0
1585424538,0
1585424596,0
1585424639,0
1585424696,0
1585424768,0
1585424898,0
1585424941,0
1585424998,0
1585425070,0
1585427170,0
1585427242,0
1585427285,0
1585427357,0
1585427414,0
1585427457,0
1585427529,0
1585427587,0
1585428119,0
1585428191,0
1585428248,0
1585428306,0
1585428378,0
1585428479,0
1585430722,0
1585430780,0
1585430823,0
1585430880,0
1585431010,0
1585431067,0
1585432865,0
1585432937,0
1585432980,0
1585433109,0
1585433181,0
1585433225,0
1585433296,0
1585433340,0
1585433397,0
1585434016,0
1585434059,0
1585434116,0
1585434260,0
1585434318,0
1585434418,0
1585434490,0
1585434562,0
1585436604,0
1585436662,0
1585436877,0
1585438503,0
1585438574,0
1585438618,0
1585438704,0
1585438747,0
1585438805,0
1585438876,0
1585438934,0
1585438977,0
1585439063,0
1585439107,0
1585439164,0
1585439236,0
1585439279,0
1585439351,0
1585439409,0
1585442400,0
1585442587,0
1585442644,0
1585442702,0
1585442759,0
1585442817,0
1585442889,0
1585443018,0
1585443795,0
1585444025,0
1585444269,0
1585444341,0
1585444385,0
1585444500,0
1585444557,0
1585444629,0
1585444701,0
1585444758,0
1585444802,0
1585444874,0
1585444917,0
1585445003,0
1585445060,0
1585445176,0
1585445219,0
1585445348,0
1585448239,0
1585448296,0
1585448354,0
1585448397,0
1585448469,0
1585448526,0
1585448584,0
1585448656,0
1585448699,0
1585448756,0
1585450281,0
1585450324,0
1585450381,0
1585450496,0
1585450568,0
1585450626,0
1585450683,0
1585450755,0
1585450813,0
1585450856,0
1585450942,0
1585450985,0
1585451043,0
1585451115,0
1585451172,0
1585451244,0
1585451345,0
1585454336,0
1585454480,0
1585456148,0
1585456220,0
1585456263,0
1585456335,0
1585456393,0
1585456436,0
1585456522,0
1585456565,0
1585456623,0
1585456695,0
1585456738,0
1585456810,0
1585456882,0
1585456925,0
1585456997,0
1585457054,0
1585457097,0
1585460664,0
1585460822,0
1585460894,0
1585460937,0
1585461009,0
1585461067,0
1585461124,0
1585461182,0
1585461239,0
1585461311,0
1585462088,0
1585462160,0
1585462203,0
1585462260,0
1585462318,0
1585462404,0
1585462462,0
1585462505,0
1585462562,0
1585462620,0
1585462677,0
1585462764,0
1585462807,0
1585462864,0
1585462936,0
1585466819,0
1585466891,0
1585466949,0
1585467006,0
1585467064,0
1585467236,0
1585467912,0
1585467970,0
1585468042,0
1585468085,0
1585468142,0
1585468200,0
1585468257,0
1585468344,0
1585468401,0
1585472888,0
1585484710,0
1585484839,0
1585485012,0
1585489513,0
1585489556,0
1585490520,0
1585490577,0
1585490649,0
1585490721,0
1585490764,0
1585490822,0
1585490951,0
1585491009,0
1585495150,0
1585495208,0
1585495266,0
1585495323,0
1585495524,0
1585495582,0
1585500716,0
1585500788,0
1585500845,0
1585500903,0
1585500975,0
1585501018,0
1585501090,0
1585501162,0
1585501205,0
1585501277,0
1585501320,0
1585501464,0
1585503190,0
1585503319,0
1585503477,0
1585506598,0
1585506684,0
1585506727,0
1585506799,0
1585506843,0
1585506900,0
1585506972,0
1585507044,0
1585507087,0
1585507216,0
1585507260,0
1585509057,0
1585509201,0
1585509259,0
1585509359,0
1585509431,0
1585511588,0
1585511646,0
1585511704,0
1585511761,0
1585511819,0
1585511890,0
1585511948,0
1585512020,0
1585512480,0
1585512552,0
1585512624,0
1585512667,0
1585512725,0
1585512797,0
1585512840,0
1585512897,0
1585513041,0
1585513084,0
1585515069,0
1585515184,0
1585517298,0
1585517399,0
1585517456,0
1585517528,0
1585517585,0
1585517643,0
1585517715,0
1585517772,0
1585517830,0
1585517887,0
1585517945,0
1585518017,0
1585518060,0
1585518376,0
1585518420,0
1585518477,0
1585518549,0
1585518607,0
1585518678,0
1585521008,0
1585521066,0
1585521123,0
1585521181,0
1585521253,0
1585521425,0
1585522921,0
1585522978,0
1585523036,0
1585523108,0
1585523180,0
1585523237,0
1585523280,0
1585523338,0
1585523410,0
1585523467,0
1585523525,0
1585523582,0
1585523640,0
1585523698,0
1585523784,0
1585523956,0
1585524302,0
1585524431,0
1585524489,0
1585526890,0
1585526962,0
1585527020,0
1585527077,0
1585527120,0
1585527192,0
1585527264,0
1585527365,0
1585527422,0
1585527480,0
1585528443,0
1585528760,0
1585528803,0
1585528932,0
1585529004,0
1585529047,0
1585529119,0
1585529162,0
1585529220,0
1585529278,0
1585529349,0
1585529421,0
1585529479,0
1585529522,0
1585529594,0
1585529651,0
1585532715,0
1585532772,0
1585532844,0
1585532902,0
1585532945,0
1585533002,0
1585533060,0
1585533117,0
1585534627,0
1585534699,0
1585534742,0
1585534800,0
1585534872,0
1585534929,0
1585535001,0
1585535044,0
1585535116,0
1585535159,0
1585535231,0
1585535361,0
1585535404,0
1585535461,0
1585535519,0
1585535577,0
1585535663,0
1585535706,0
1585540639,0
1585540682,0
1585540754,0
1585540797,0
1585540883,0
1585540926,0
1585540984,0
1585541041,0
1585541099,0
1585541156,0
1585541228,0
1585541300,0
1585541343,0
1585541401,0
1585541473,0
1585541516,0
1585541602,0
1585545442,0
1585545543,0
1585545615,0
1585545658,0
1585545730,0
1585545845,0
1585546636,0
1585546679,0
1585546751,0
1585546808,0
1585546866,0
1585546923,0
1585546981,0
1585547053,0
1585547110,0
1585547168,0
1585547225,0
1585547297,0
1585547340,0
1585551425,0
1585551497,0
1585551540,0
1585551612,0
1585551669,0
1585551727,0
1585552388,0
1585552460,0
1585552518,0
1585552561,0
1585552633,0
1585552690,0
1585552762,0
1585552805,0
1585552877,0
1585552920,0
1585557422,0
1585557479,0
1585569258,0
1585569315,0
1585569358,0
1585573860,0
1585574953,0
1585575010,0
1585575082,0
1585575183,0
1585575240,0
1585575298,0
1585575384,0
1585575442,0
1585579396,0
1585579454,0
1585579497,0
1585579583,0
1585579698,0
1585579742,0
1585579813,0
1585579857,0
1585585206,0
1585585264,0
1585585336,0
1585585379,0
1585585437,0
1585585523,0
1585585580,0
1585585624,0
1585585681,0
1585585753,0
1585585811,0
1585587608,0
1585587738,0
1585587781,0
1585587925,0
1585587968,0
1585591204,0
1585591275,0
1585591319,0
1585591376,0
1585591448,0
1585591506,0
1585591635,0
1585593433,0
1585593476,0
1585593548,0
1585593605,0
1585593677,0
1585593720,0
1585593792,0
1585596079,0
1585596122,0
1585596194,0
1585596237,0
1585596323,0
1585596367,0
1585596482,0
1585596539,0
1585597100,0
1585597158,0
1585597201,0
1585597258,0
1585597330,0
1585597388,0
1585597445,0
1585599487,0
1585599660,0
1585599717,0
1585601760,0
1585601903,0
1585601947,0
1585602018,0
1585602076,0
1585602134,0
1585602177,0
1585602263,0
1585602321,0
1585602364,0
1585602421,0
1585602853,0
1585602910,0
1585602982,0
1585603040,0
1585603097,0
1585603442,0
1585605485,0
1585605600,0
1585605657,0
1585607354,0
1585607397,0
1585607484,0
1585607541,0
1585607599,0
1585607656,0
1585607699,0
1585607757,0
1585607829,0
1585607901,0
1585607944,0
1585608001,0
1585608073,0
1585608116,0
1585608188,0
1585608318,0
1585608361,0
1585608720,0
1585608864,0
1585608907,0
1585611309,0
1585611367,0
1585611424,0
1585611482,0
1585611539,0
1585611669,0
1585611856,0
1585612862,0
1585613279,0
1585613409,0
1585613466,0
1585613524,0
1585613581,0
1585613639,0
1585613711,0
1585613783,0
1585613840,0
1585613883,0
1585613941,0
1585613998,0
1585614056,0
1585614128,0
1585614185,0
1585614243,0
1585617133,0
1585617177,0
1585617263,0
1585617306,0
1585617364,0
1585617435,0
1585617493,0
1585617608,0
1585619104,0
1585619176,0
1585619276,0
1585619348,0
1585619406,0
1585619463,0
1585619535,0
1585619593,0
1585619650,0
1585619708,0
1585619765,0
1585619837,0
1585619895,0
1585619952,0
1585620067,0
1585620125,0
1585620182,0
1585623058,0
1585623188,0
1585625043,0
1585625101,0
1585625172,0
1585625230,0
1585625302,0
1585625359,0
1585625417,0
1585625474,0
1585625518,0
1585625604,0
1585625647,0
1585625705,0
1585625776,0
1585625834,0
1585625892,0
1585625949,0
1585626007,0
1585626078,0
1585629904,0
1585630033,0
1585630091,0
1585630148,0
1585630263,0
1585630882,0
1585630925,0
1585630997,0
1585631040,0
1585631097,0
1585631169,0
1585631227,0
1585631299,0
1585631356,0
1585631400,0
1585631457,0
1585631529,0
1585631586,0
1585631658,0
1585631702,0
1585631759,0
1585635901,0
1585636030,0
1585636088,0
1585636807,0
1585636864,0
1585636979,0
1585637051,0
1585637109,0
1585637224,0
1585637282,0
1585641840,0
1585648686,0
1585653777,0
1585659357,0
1585659443,0
1585659486,0
1585659558,0
1585659616,0
1585659673,0
1585659716,0
1585664160,0
1585669755,0
1585669798,0
1585669942,0
1585669985,0
1585670042,0
1585670100,0
1585672156,0
1585672200,0
1585672257,0
1585672343,0
1585672386,0
1585672458,0
1585675579,0
1585675622,0
1585675680,0
1585675737,0
1585675824,0
1585675881,0
1585675924,0
1585675996,0
1585676097,0
1585678038,0
1585678082,0
1585678139,0
1585678197,0
1585678268,0
1585680426,0
1585680498,0
1585680541,0
1585680598,0
1585680685,0
1585680728,0
1585680843,0
1585680900,0
1585681447,0
1585681519,0
1585681562,0
1585681619,0
1585681691,0
1585681749,0
1585681821,0
1585681921,0
1585681979,0
1585683906,0
1585683964,0
1585684021,0
1585684093,0
1585686193,0
1585686250,0
1585686308,0
1585686365,0
1585686423,0
1585686495,0
1585686538,0
1585686624,0
1585686667,0
1585686725,0
1585686797,0
1585686912,0
1585687271,0
1585687329,0
1585687401,0
1585687444,0
1585687516,0
1585687559,0
1585689846,0
1585689903,0
1585690018,0
1585691758,0
1585691830,0
1585691888,0
1585691945,0
1585692017,0
1585692075,0
1585692118,0
1585692190,0
1585692247,0
1585692305,0
1585692362,0
1585692420,0
1585692492,0
1585692621,0
1585692679,0
1585693196,0
1585693326,0
1585695727,0
1585695799,0
1585695914,0
1585695972,0
1585696029,0
1585696087,0
1585696159,0
1585697640,0
1585697698,0
1585697784,0
1585697827,0
1585697885,0
1585697957,0
1585698014,0
1585698057,0
1585698143,0
