time,COM2_State,COM2_Current_Min,COM2_Current_Max,COM2_Current_Avg
1581789804,Off_Initial,-15.5,15.498046875,-0.00244140625
1581789862,Off_Initial,-15.5,15.498046875,-0.00244140625
1581789924,Off_Initial,-15.5,15.498046875,-0.00244140625
1581789982,Off_Initial,-15.5,15.498046875,-0.00244140625
1581790044,Off_Initial,-15.5,15.498046875,-0.00244140625
1581790101,Off_Initial,-15.5,15.498046875,-0.00244140625
1581790164,Off_Initial,-15.5,15.498046875,-0.00244140625
1581891801,Off_Initial,-15.5,15.498046875,-0.00244140625
1581891863,Off_Initial,-15.5,15.498046875,-0.00244140625
1581891921,Off_Initial,-15.5,15.498046875,-0.00244140625
1581891983,Off_Initial,-15.5,15.498046875,-0.00244140625
1581892041,Off_Initial,-15.5,15.498046875,-0.00244140625
1581892103,Off_Initial,-15.5,15.498046875,-0.00244140625
1581892160,Off_Initial,-15.5,15.498046875,-0.00244140625
1581892223,Off_Initial,-15.5,15.498046875,-0.00244140625
1581892280,Off_Initial,-15.5,15.498046875,-0.00244140625
1581892343,Off_Initial,-15.5,15.498046875,-0.00244140625
1581892405,Off_Initial,-15.5,15.498046875,-0.00244140625
1581892462,Off_Initial,-15.5,15.498046875,-0.00244140625
1582223663,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582223721,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582223779,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582223783,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582223788,Off_Initial,-1.25,1.1259765625,-0.001953125
1582223841,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582223903,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582223961,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582224023,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582224081,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582224143,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582224200,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582224263,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582224320,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582224383,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582224440,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582224502,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582229483,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582229598,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582229603,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582229661,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582229723,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582229781,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582229843,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582229900,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582229963,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582230020,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582230083,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582230140,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582230202,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582230265,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582230322,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582235365,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582235422,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582235484,Off_Initial,-1.25,1.1259765625,-0.00244140625
1582235542,Off_Over-Current,-1.25,3.1767578125,0.24609375
1582235604,Off_Over-Current,-1.25,3.1767578125,-0.001953125
1582235662,Off_Over-Current,-1.25,3.1767578125,-0.00244140625
1582235724,Off_Over-Current,-1.25,3.1767578125,-0.00244140625
1582235782,Off_Over-Current,-1.25,3.1767578125,-0.00244140625
1582235844,Off_Over-Current,-1.25,3.1767578125,-0.00244140625
1582235902,Off_Over-Current,-1.25,3.1767578125,-0.00244140625
1582235964,Off_Over-Current,-1.25,3.1767578125,-0.00244140625
1582236021,Off_Over-Current,-1.25,3.1767578125,-0.00244140625
1582236084,Off_Over-Current,-1.25,3.1767578125,-0.00244140625
1582308084,Off_Over-Current,-1.25,3.1767578125,-0.00244140625
1582308141,Off_Over-Current,-1.25,3.1767578125,-0.00244140625
1582308204,Off_Over-Current,-1.25,3.1767578125,-0.00244140625
1582308261,On,-1.25,3.3876953125,1.4306640625
1582308324,On,-1.25,3.3876953125,2.955078125
1582308381,On,-1.25,3.3876953125,2.95556640625
1582308443,On,-1.25,3.3876953125,2.95947265625
1582308501,On,-1.25,3.3876953125,2.96435546875
1582308683,On,-1.25,3.3876953125,3.0068359375
1582308741,On,-1.25,3.3876953125,3.02294921875
1582308803,On,-1.25,3.48779296875,3.01904296875
1582308861,On,-1.25,3.48779296875,3.01318359375
1582319962,5,-1.25,3.48779296875,-0.00244140625
1582320025,5,-1.25,3.48779296875,-0.00244140625
1582320082,5,-0.0078125,0.001953125,-0.00244140625
1582320145,5,-0.0078125,0.0029296875,-0.00244140625
1582320202,5,-0.0078125,0.0029296875,-0.00244140625
1582320264,5,-0.0078125,0.0029296875,-0.00244140625
1582320322,5,-0.0078125,0.0029296875,-0.00244140625
1582320384,5,-0.0078125,0.0029296875,-0.00244140625
1582320442,5,-0.0078125,0.0029296875,-0.00244140625
1582320504,5,-0.0078125,0.0029296875,-0.00244140625
1582320562,5,-0.0078125,0.0029296875,-0.00244140625
1582488773,5,-0.009765625,0.00390625,-0.00244140625
1582488893,On,-0.009765625,3.46484375,2.96826171875
1582488955,On,-0.009765625,3.46484375,2.95654296875
1582489022,On,-0.009765625,3.46484375,2.95458984375
1582489075,On,-0.009765625,3.46484375,2.95947265625
1582489195,On,-0.009765625,3.46484375,2.9716796875
1582489253,On,-0.009765625,3.46484375,2.98291015625
1582916934,5,-15.5,3.46484375,-0.00244140625
1582916995,5,-15.5,3.46484375,-0.001953125
1582917053,5,-15.5,3.46484375,-0.00244140625
1582917124,5,-15.5,3.46484375,-0.00244140625
1582917172,5,-15.5,3.46484375,-0.00244140625
1582983836,5,-15.5,15.9970703125,-0.00244140625
1582983894,5,-15.5,15.9970703125,-0.00244140625
1582983956,5,-15.5,15.9970703125,-0.00244140625
1582984014,5,-15.5,15.9970703125,-0.00244140625
1582984076,5,-15.5,15.9970703125,-0.00244140625
1582984134,5,-15.5,15.9970703125,-0.00244140625
1582984196,5,-15.5,15.9970703125,-0.00244140625
1582984253,5,-15.5,15.9970703125,-0.00244140625
1582984316,5,-15.5,15.9970703125,-0.00244140625
1582984373,5,-15.5,15.9970703125,-0.00244140625
1582984436,5,-15.5,15.9970703125,-0.00244140625
1582984493,5,-15.5,15.9970703125,-0.00244140625
1582984556,5,-15.5,15.9970703125,-0.00244140625
1582984613,5,-15.5,15.9970703125,-0.00244140625
1582989776,5,-15.5,15.9970703125,-0.00244140625
1582989833,5,-15.5,15.9970703125,-0.001953125
1582989896,5,-15.5,15.9970703125,-0.00244140625
1582989953,5,-15.5,15.9970703125,-0.00244140625
1582990016,5,-15.5,15.9970703125,-0.00244140625
1582990073,5,-15.5,15.9970703125,-0.00244140625
1582990136,5,-15.5,15.9970703125,-0.00244140625
1582990193,5,-15.5,15.9970703125,-0.00244140625
1582990255,5,-15.5,15.9970703125,-0.00244140625
1582990313,5,-15.5,15.9970703125,-0.00244140625
1582990375,5,-15.5,15.9970703125,-0.00244140625
1582990433,5,-15.5,15.9970703125,-0.00244140625
1582990495,5,-15.5,15.9970703125,-0.00244140625
1582995475,5,-15.5,15.9970703125,-0.00244140625
1582995533,5,-15.5,15.9970703125,-0.00244140625
1582995595,5,-15.5,15.9970703125,-0.00244140625
1582995652,5,-15.5,15.9970703125,-0.00244140625
1582995715,5,-15.5,15.9970703125,-0.00244140625
1582995772,5,-15.5,15.9970703125,-0.00244140625
1582995835,5,-15.5,15.9970703125,-0.00244140625
1582995892,5,-15.5,15.9970703125,-0.00244140625
1582995954,5,-15.5,15.9970703125,-0.00244140625
1582996017,5,-15.5,15.9970703125,-0.00244140625
1582996074,5,-15.5,15.9970703125,-0.00244140625
1582996137,5,-15.5,15.9970703125,-0.00244140625
1582996194,5,-15.5,15.9970703125,-0.00244140625
1582996256,5,-15.5,15.9970703125,-0.00244140625
1582996314,5,-15.5,15.9970703125,-0.00244140625
1583074016,5,-15.5,15.9970703125,-0.00244140625
1583074073,5,-15.5,15.9970703125,-0.00244140625
1583074136,5,-15.5,15.9970703125,-0.00244140625
1583074193,5,-15.5,15.9970703125,-0.00244140625
1583074256,5,-15.5,15.9970703125,-0.00244140625
1583074313,5,-15.5,15.9970703125,-0.00244140625
1583074375,5,-15.5,15.9970703125,-0.00244140625
1583074433,5,-15.5,15.9970703125,-0.00244140625
1583074495,5,-15.5,15.9970703125,-0.00244140625
1583074553,5,-15.5,15.9970703125,-0.00244140625
1583074615,5,-15.5,15.9970703125,-0.00244140625
1583074673,5,-15.5,15.9970703125,-0.00244140625
1583074735,5,-15.5,15.9970703125,-0.00244140625
1583074793,5,-15.5,15.9970703125,-0.00244140625
1583074855,5,-15.5,15.9970703125,-0.00244140625
1583080016,5,-15.5,15.9970703125,-0.00244140625
1583080073,5,-15.5,15.9970703125,-0.00244140625
1583080136,5,-15.5,15.9970703125,-0.00244140625
1583080193,5,-15.5,15.9970703125,-0.00244140625
1583080256,5,-15.5,15.9970703125,-0.00244140625
1583080313,5,-15.5,15.9970703125,-0.00244140625
1583080375,5,-15.5,15.9970703125,-0.00244140625
1583080433,5,-15.5,15.9970703125,-0.00244140625
1583080495,5,-15.5,15.9970703125,-0.00244140625
1583080553,5,-15.5,15.9970703125,-0.00244140625
1583080615,5,-15.5,15.9970703125,-0.00244140625
1583080673,5,-15.5,15.9970703125,-0.00244140625
1583080735,5,-15.5,15.9970703125,-0.00244140625
1583248914,5,-15.5,15.998046875,-0.001953125
1583248976,5,-15.5,15.998046875,-0.00244140625
1583249034,5,-15.5,15.998046875,-0.00244140625
1583249096,5,-15.5,15.998046875,-0.00244140625
1583249154,5,-15.5,15.998046875,-0.00244140625
1583249216,5,-15.5,15.998046875,-0.00244140625
1583249274,5,-15.5,15.998046875,-0.00244140625
1583249336,5,-15.5,15.998046875,-0.00244140625
1583249394,5,-15.5,15.998046875,-0.00244140625
1583254734,5,-15.5,15.998046875,-0.00244140625
1583254796,5,-15.5,15.998046875,-0.00244140625
1583254854,5,-15.5,15.998046875,-0.00244140625
1583254916,5,-15.5,15.998046875,-0.00244140625
1583254974,5,-15.5,15.998046875,-0.00244140625
1583255036,5,-15.5,15.998046875,-0.00244140625
1583255094,5,-15.5,15.998046875,-0.00244140625
1583255156,5,-15.5,15.998046875,-0.00244140625
1583255213,5,-15.5,15.998046875,-0.00244140625
1583508233,5,-15.5,15.998046875,-0.00244140625
1583508295,5,-15.5,15.998046875,-0.00244140625
1583508352,5,-15.5,15.998046875,-0.00244140625
1583508415,5,-15.5,15.998046875,-0.00244140625
1583508472,5,-15.5,15.998046875,-0.00244140625
1583508535,5,-15.5,15.998046875,-0.00244140625
1583508592,5,-15.5,15.998046875,-0.00244140625
1583569013,5,-15.5,15.998046875,-0.00244140625
1583569075,5,-15.5,15.998046875,-0.00244140625
1583569133,5,-15.5,15.998046875,-0.00244140625
1583569195,5,-15.5,15.998046875,-0.00244140625
1583569253,5,-15.5,15.998046875,-0.00244140625
1583569315,5,-15.5,15.998046875,-0.00244140625
1583569373,5,-15.5,15.998046875,-0.00244140625
1583569435,5,-15.5,15.998046875,-0.00244140625
1583569492,5,-15.5,15.998046875,-0.00244140625
1583569555,5,-15.5,15.998046875,-0.00244140625
1583997056,5,-15.5,15.998046875,-0.00244140625
1583997114,5,-15.5,15.998046875,-0.00244140625
1583997176,5,-15.5,15.998046875,-0.00244140625
1583997233,5,-15.5,15.998046875,-0.00244140625
1583997296,5,-15.5,15.998046875,-0.00244140625
1583997353,5,-15.5,15.998046875,-0.00244140625
1583997416,5,-15.5,15.998046875,-0.00244140625
1583997473,5,-15.5,15.998046875,-0.00244140625
1583997536,5,-15.5,15.998046875,-0.00244140625
1583997593,5,-15.5,15.998046875,-0.00244140625
1583997655,5,-15.5,15.998046875,-0.00244140625
1583997713,5,-15.5,15.998046875,-0.00244140625
1584002993,5,-15.5,15.998046875,-0.00244140625
1584003055,5,-15.5,15.998046875,-0.00244140625
1584003113,5,-15.5,15.998046875,-0.00244140625
1584003175,5,-15.5,15.998046875,-0.00244140625
1584003233,5,-15.5,15.998046875,-0.00244140625
1584003295,5,-15.5,15.998046875,-0.00244140625
1584003352,5,-15.5,15.998046875,-0.00244140625
1584003415,5,-15.5,15.998046875,-0.00244140625
1584003472,5,-15.5,15.998046875,-0.00244140625
1584003535,5,-15.5,15.998046875,-0.00244140625
1584003592,5,-15.5,15.998046875,-0.00244140625
1584003655,5,-15.5,15.998046875,-0.00244140625
1584087514,5,-15.5,15.998046875,-0.00244140625
1584087576,5,-15.5,15.998046875,-0.00244140625
1584087634,5,-15.5,15.998046875,-0.00244140625
1584087696,5,-15.5,15.998046875,-0.00244140625
1584087754,5,-15.5,15.998046875,-0.00244140625
1584087816,5,-15.5,15.998046875,-0.00244140625
1584087874,5,-15.5,15.998046875,-0.00244140625
1584087936,5,-15.5,15.998046875,-0.00244140625
1584087994,5,-15.5,15.998046875,-0.00244140625
1584088056,5,-15.5,15.998046875,-0.00244140625
1584088113,5,-15.5,15.998046875,-0.00244140625
1584088176,5,-15.5,15.998046875,-0.00244140625
1584088233,5,-15.5,15.998046875,-0.00244140625
1584093394,5,-15.5,15.998046875,-0.00244140625
1584093457,5,-15.5,15.998046875,-0.00244140625
1584093514,5,-15.5,15.998046875,-0.00244140625
1584093577,5,-15.5,15.998046875,-0.00244140625
1584093634,5,-15.5,15.998046875,-0.00244140625
1584093696,5,-15.5,15.998046875,-0.00244140625
1584093754,5,-15.5,15.998046875,-0.00244140625
1584093816,5,-15.5,15.998046875,-0.00244140625
1584093874,5,-15.5,15.998046875,-0.00244140625
1584093936,5,-15.5,15.998046875,-0.00244140625
1584093994,5,-15.5,15.998046875,-0.00244140625
