time,Panel_1_Temperature_Max,Panel_1_Temperature_Avg,Panel_2_Temperature_Min,Panel_2_Temperature_Max,Panel_2_Temperature_Avg,Panel_3_Temperature_Min,Panel_3_Temperature_Max,Panel_3_Temperature_Avg
1583997655,71,-11,-30,58,-18,-23,68,-11
1583997713,71,-11,-30,58,-19,-23,68,-12
1584002993,71,-4,-30,58,-13,-23,68,-9
1584003055,71,-5,-30,58,-14,-23,68,-10
1584003113,71,-5,-30,58,-15,-23,68,-10
1584003175,71,-6,-30,58,-16,-23,68,-11
1584003233,71,-7,-30,58,-16,-23,68,-11
1584003295,71,-8,-30,58,-17,-23,68,-12
1584003352,71,-9,-30,58,-18,-23,68,-13
1584003415,71,-9,-30,58,-19,-23,68,-13
1584003472,71,-10,-30,58,-20,-23,68,-14
1584003535,71,-11,-30,58,-21,-23,68,-14
1584003592,71,-11,-30,58,-22,-23,68,-15
1584003655,71,-11,-30,58,-22,-23,68,-16
1584087514,71,-1,-30,58,-6,-23,74,0
1584087576,71,-2,-30,58,-7,-23,74,-1
1584087634,71,-2,-30,58,-9,-23,74,-2
1584087696,71,-3,-30,58,-10,-23,74,-3
1584087754,71,-4,-30,58,-11,-23,74,-4
1584087816,71,-5,-30,58,-12,-23,74,-4
1584087874,71,-6,-30,58,-13,-23,74,-5
1584087936,71,-6,-30,58,-14,-23,74,-6
1584087994,71,-7,-30,58,-15,-23,74,-6
1584088056,71,-8,-30,58,-16,-23,74,-7
1584088113,71,-9,-30,58,-17,-23,74,-8
1584088176,71,-9,-30,58,-18,-23,74,-8
1584088233,71,-10,-30,58,-19,-23,74,-9
1584099516,-14,-14,-20,-20,-20,-9,-9,-9
1584099573,-14,-14,-21,-20,-21,-10,-8,-10
1584099636,-14,-15,-22,-20,-22,-10,-2,-6
1584099693,-14,-15,-23,-20,-23,-10,4,1
1584099755,-14,-15,-23,-20,-23,-10,10,7
1584099813,-14,-15,-24,-20,-24,-10,14,12
1584099875,-14,-16,-24,-20,-24,-10,18,16
1584099933,-14,-15,-24,-20,-24,-10,20,19
1584099995,-14,-15,-25,-20,-25,-10,23,21
1584105034,38,-14,-26,27,-21,-10,30,-8
1584105097,38,-15,-26,27,-21,-10,30,-9
1584105154,38,-15,-26,27,-22,-10,30,-9
1584105216,38,-16,-26,27,-23,-10,30,-9
1584105274,38,-16,-26,27,-24,-10,30,-5
1584105336,38,-16,-26,27,-24,-10,30,-1
1584105394,38,-16,-26,27,-25,-10,30,4
1584105456,38,-16,-26,27,-25,-10,30,10
1584105514,38,-17,-26,27,-24,-10,30,15
1584105576,38,-17,-26,27,-25,-10,30,19
1584105634,38,-16,-26,27,-25,-10,30,22
1584165996,58,2,-27,36,3,-20,60,4
1584166053,58,1,-27,36,1,-20,60,3
1584166115,58,0,-27,36,-1,-20,60,2
1584166173,58,-1,-27,36,-3,-20,60,1
1584166235,58,-2,-27,36,-4,-20,60,1
1584166293,58,-3,-27,36,-6,-20,60,0
1584166355,58,-4,-27,36,-7,-20,60,-1
1584166413,58,-5,-27,36,-9,-20,60,-2
1584166475,58,-6,-27,36,-10,-20,60,-2
1584171937,58,1,-27,36,-10,-20,60,-1
1584171994,58,0,-27,36,-11,-20,60,-2
1584172056,58,-1,-27,36,-12,-20,60,-3
1584172114,58,-2,-27,36,-13,-20,60,-3
1584172176,58,-3,-27,36,-14,-20,60,-4
1584172234,58,-5,-27,36,-15,-20,60,-5
1584172296,58,-5,-27,36,-16,-20,60,-5
1584172354,58,-6,-27,36,-16,-20,60,-6
1584172416,58,-7,-27,36,-17,-20,60,-7
1584172474,58,-7,-27,36,-18,-20,60,-8
1584172536,58,-8,-27,36,-19,-20,60,-9
1584172593,58,-8,-27,36,-20,-20,60,-10
1584172713,58,-10,-27,36,-21,-20,60,-11
1584177756,58,-4,-27,36,-15,-20,60,-2
1584177813,58,-4,-27,36,-16,-20,60,-3
1584177875,58,-5,-27,36,-17,-20,60,-5
1584177933,58,-5,-27,36,-17,-20,60,-6
1584177995,58,-6,-27,36,-18,-20,60,-7
1584178053,58,-7,-27,36,-19,-20,60,-8
1584178115,58,-7,-27,36,-20,-20,60,-8
1584178173,58,-8,-27,36,-21,-20,60,-9
1584178235,58,-9,-27,36,-21,-20,60,-10
1584178297,58,-10,-27,36,-22,-20,60,-10
1584178355,58,-11,-27,36,-23,-20,60,-11
1584178417,58,-11,-27,36,-23,-20,60,-12
1584178475,58,-12,-27,36,-24,-20,60,-12
1584183695,58,-4,-27,36,-14,-20,60,-9
1584183753,58,-5,-27,36,-15,-20,60,-9
1584183815,58,-6,-27,36,-15,-20,60,-10
1584183877,58,-7,-27,36,-16,-20,60,-10
1584183935,58,-8,-27,36,-17,-20,60,-11
