time,Panel_1_Power_Avg,Panel_2_Power_Avg,Panel_3_Power_Avg
1580617478,2.0526123046875,2.0782470703125,2.5872802734375
1580617542,1.98028564453125,2.4114990234375,1.89056396484375
1580617606,2.098388671875,1.91070556640625,2.15972900390625
1580617670,2.0123291015625,0.4632568359375,1.07574462890625
1580617734,1.8475341796875,1.9830322265625,2.71636962890625
1580617798,1.62506103515625,2.57171630859375,2.01324462890625
1580617862,2.59735107421875,1.9775390625,2.00775146484375
1580617926,1.6790771484375,0.36346435546875,1.5582275390625
1580617990,1.95831298828125,1.9024658203125,1.8182373046875
1580618054,2.15606689453125,2.6312255859375,1.77520751953125
1580618118,0.07049560546875,0.45867919921875,1.60308837890625
1580618182,0.06683349609375,1.83929443359375,0.9136962890625
1580618246,0.42755126953125,2.72918701171875,0.49163818359375
1580618310,2.23114013671875,2.080078125,1.72119140625
1580618374,1.2432861328125,0.816650390625,0.06500244140625
1580618438,1.89971923828125,1.3037109375,0.0677490234375
1580618502,2.57904052734375,2.4609375,0.05859375
1580618566,0.06500244140625,2.16796875,0.05126953125
1580618630,0.05401611328125,1.1334228515625,2.07183837890625
1580618694,0.03387451171875,0.615234375,2.255859375
1580618758,0.047607421875,2.2064208984375,0.9100341796875
1580618822,0.03936767578125,2.48382568359375,2.06817626953125
1580618886,0.0384521484375,1.32659912109375,1.8804931640625
1580618950,0.03204345703125,0.35064697265625,0.0421142578125
1580619014,0.032958984375,1.885986328125,0.0201416015625
1580619078,0.0,0.0,0.0
1580619142,0.0,0.0,0.0
1580619206,0.0,0.0,0.0
1580619398,0.0,0.0,0.0
1580619462,0.0,0.0,0.0
1580619718,0.0,0.0,0.0
1580619782,0.0,0.0,0.0
1580619846,0.0,0.0,0.0
1580619910,0.0,0.0,0.0
1580619974,0.0,0.0,0.0
1580620038,0.0,0.0,0.0
1580620102,0.0,0.0,0.0
1580620166,0.0,0.0,0.0
1580620230,0.0,0.0,0.0
1580620294,0.0,0.0,0.0
1580620358,0.0,0.0,0.0
1580620422,0.0,0.0,0.0
1580620486,0.0,0.0,0.0
1580620550,0.0,0.0,0.0
1580620614,0.0,0.0,0.0
1580620678,0.0,0.0,0.0
1580620742,0.0,0.0,0.0
1580620806,0.0,0.0,0.0
1580620870,0.0,0.0,0.0
1580620934,0.0,0.0,0.0
1580620998,0.0,0.0,0.0
1580621062,0.0494384765625,0.0,0.703125
1580621126,2.4078369140625,2.12677001953125,1.988525390625
1580621190,0.9942626953125,2.20367431640625,2.515869140625
1580621254,1.98028564453125,0.90179443359375,2.26593017578125
1580621318,2.46734619140625,1.065673828125,1.28082275390625
1580621382,2.59368896484375,2.21466064453125,1.5673828125
1580621510,1.95831298828125,1.3897705078125,2.42340087890625
1580621574,2.6934814453125,0.83587646484375,1.56097412109375
1580621638,2.80975341796875,2.314453125,1.5985107421875
1580621702,1.5509033203125,2.81158447265625,3.0120849609375
1580621766,1.95831298828125,1.8603515625,2.84820556640625
1580621830,2.86651611328125,1.03179931640625,1.89056396484375
1580621894,3.12652587890625,2.39227294921875,1.7230224609375
