time,Status,Control,Last_Charge_Time
1580663909,0x0,0x0,0.0
1580663967,0x0,0x0,0.0
1580664024,0x0,0x0,0.0
1580664082,0x0,0x0,0.0
1580664139,0x0,0x0,0.0
1580664197,0x0,0x0,0.0
1580664326,0x0,0x0,0.0
1580664628,0x0,0x0,0.0
1580664743,0x0,0x0,0.0
1580664801,0x0,0x0,0.0
1580664858,0x0,0x0,0.0
1580664930,0x0,0x0,0.0
1580665045,0x0,0x0,0.0
1580668410,0x0,0x0,0.0
1580668468,0x0,0x0,0.0
1580668526,0x0,0x0,0.0
1580668583,0x0,0x0,0.0
1580668641,0x0,0x0,0.0
1580668698,0x0,0x0,0.0
1580668770,0x0,0x0,0.0
1580668828,0x0,0x0,0.0
1580668885,0x0,0x0,0.0
1580668943,0x0,0x0,0.0
1580669058,0x0,0x0,0.0
1580669489,0x0,0x0,0.0
1580669547,0x0,0x0,0.0
1580669604,0x0,0x0,0.0
1580669662,0x0,0x0,0.0
1580669719,0x0,0x0,0.0
1580669777,0x0,0x0,0.0
1580669849,0x0,0x0,0.0
1580669906,0x0,0x0,0.0
1580669964,0x0,0x0,0.0
1580670021,0x0,0x0,0.0
1580670079,0x0,0x0,0.0
1580674163,0x0,0x0,0.0
1580674220,0x0,0x0,0.0
1580674350,0x0,0x0,0.0
1580674407,0x0,0x0,0.0
1580674465,0x0,0x0,0.0
1580674522,0x0,0x0,0.0
1580674580,0x0,0x0,0.0
1580674637,0x0,0x0,0.0
1580674709,0x0,0x0,0.0
1580674824,0x0,0x0,0.0
1580674882,0x0,0x0,0.0
1580675299,0x0,0x0,0.0
1580675543,0x0,0x0,0.0
1580675845,0x0,0x0,0.0
1580679858,0x0,0x0,0.0
1580679930,0x0,0x0,0.0
1580679987,0x0,0x0,0.0
1580680045,0x0,0x0,0.0
1580680102,0x0,0x0,0.0
1580680160,0x0,0x0,0.0
1580680217,0x0,0x0,0.0
1580680289,0x0,0x0,0.0
1580680347,0x0,0x0,0.0
1580680404,0x0,0x0,0.0
1580680462,0x0,0x0,0.0
1580680519,0x0,0x0,0.0
1580680577,0x0,0x0,0.0
1580680649,0x0,0x0,0.0
1580680764,0x0,0x0,0.0
1580683884,0x0,0x0,0.0
1580683942,0x0,0x0,0.0
1580683999,0x0,0x0,0.0
1580684057,0x0,0x0,0.0
1580684129,0x0,0x0,0.0
1580684186,0x0,0x0,0.0
1580685624,0x0,0x0,0.0
1580685682,0x0,0x0,0.0
1580685739,0x0,0x0,0.0
1580685797,0x0,0x0,0.0
1580685869,0x0,0x0,0.0
1580685926,0x0,0x0,0.0
1580685984,0x0,0x0,0.0
1580686041,0x0,0x0,0.0
1580686099,0x0,0x0,0.0
1580686157,0x0,0x0,0.0
1580686228,0x0,0x0,0.0
1580686286,0x0,0x0,0.0
1580686343,0x0,0x0,0.0
1580686401,0x0,0x0,0.0
1580686459,0x0,0x0,0.0
1580686530,0x0,0x0,0.0
1580686588,0x0,0x0,0.0
1580686645,0x0,0x0,0.0
1580686703,0x0,0x0,0.0
1580686761,0x0,0x0,0.0
1580686818,0x0,0x0,0.0
1580689709,0x0,0x0,0.0
1580689766,0x0,0x0,0.0
1580689824,0x0,0x0,0.0
1580689881,0x0,0x0,0.0
1580690126,0x0,0x0,0.0
1580691564,0x0,0x0,0.0
1580691621,0x0,0x0,0.0
1580691679,0x0,0x0,0.0
1580691751,0x0,0x0,0.0
1580691808,0x0,0x0,0.0
1580691866,0x0,0x0,0.0
1580691923,0x0,0x0,0.0
1580691981,0x0,0x0,0.0
1580692038,0x0,0x0,0.0
1580692110,0x0,0x0,0.0
1580692168,0x0,0x0,0.0
1580692225,0x0,0x0,0.0
1580692283,0x0,0x0,0.0
1580692340,0x0,0x0,0.0
1580692398,0x0,0x0,0.0
1580692470,0x0,0x0,0.0
1580692527,0x0,0x0,0.0
1580692642,0x0,0x0,0.0
1580696669,0x0,0x0,0.0
1580696726,0x0,0x0,0.0
1580696842,0x0,0x0,0.0
1580697446,0x0,0x0,0.0
1580697503,0x0,0x0,0.0
1580697561,0x0,0x0,0.0
1580697618,0x0,0x0,0.0
1580697690,0x0,0x0,0.0
1580697748,0x0,0x0,0.0
1580697805,0x0,0x0,0.0
1580697863,0x0,0x0,0.0
1580697920,0x0,0x0,0.0
1580697978,0x0,0x0,0.0
1580698050,0x0,0x0,0.0
1580698107,0x0,0x0,0.0
1580698165,0x0,0x0,0.0
1580698222,0x0,0x0,0.0
