time,Phase,Source,Last_BDot_X,Last_BDot_Y,Last_BDot_Z,Last_FSW_X,Last_FSW_Y,Last_FSW_Z
1584769229,Measurement,BDot,0,0,0,0,0,0
1584769234,Actuation,BDot,0,0,0,0,0,0
1584769239,Measurement,BDot,0,0,0,0,0,0
1584769244,Actuation,BDot,0,0,0,0,0,0
1584769263,Measurement,BDot,0,0,0,0,0,0
1584769268,Measurement,BDot,0,0,0,0,0,0
1584769272,Actuation,BDot,0,0,0,0,0,0
1584769277,Actuation,BDot,0,0,0,0,0,0
1584769282,Actuation,BDot,0,0,0,0,0,0
1584769292,Measurement,BDot,0,0,0,0,0,0
1584769296,Actuation,BDot,0,0,0,0,0,0
1584769301,Actuation,BDot,0,0,0,0,0,0
1584769306,Actuation,BDot,0,0,0,0,0,0
1584769311,Actuation,BDot,0,0,0,0,0,0
1584769316,Measurement,BDot,0,0,0,0,0,0
1584769320,Measurement,BDot,0,0,0,0,0,0
1584769325,Measurement,BDot,0,0,0,0,0,0
1584769330,Actuation,BDot,0,0,0,0,0,0
1584769335,Actuation,BDot,0,0,0,0,0,0
1584769340,Actuation,BDot,0,0,0,0,0,0
1584769349,Measurement,BDot,0,0,0,0,0,0
1584769354,Measurement,BDot,0,0,0,0,0,0
1584769359,Actuation,BDot,0,0,0,0,0,0
1584769364,Actuation,BDot,0,0,0,0,0,0
1584769368,Actuation,BDot,0,0,0,0,0,0
1584769373,Measurement,BDot,0,0,0,0,0,0
1584769378,Measurement,BDot,0,0,0,0,0,0
1584769383,Measurement,BDot,0,0,0,0,0,0
1584769387,Actuation,BDot,0,0,0,0,0,0
1584769392,Actuation,BDot,0,0,0,0,0,0
1584769397,Actuation,BDot,0,0,0,0,0,0
1584769402,Measurement,BDot,0,0,0,0,0,0
1584769421,Actuation,BDot,0,0,0,0,0,0
1584769426,Actuation,BDot,0,0,0,0,0,0
1584769431,Measurement,BDot,0,0,0,0,0,0
1584769435,Measurement,BDot,0,0,0,0,0,0
1584769440,Measurement,BDot,0,0,0,0,0,0
1584769445,Actuation,BDot,0,0,0,0,0,0
1584769450,Actuation,BDot,0,0,0,0,0,0
1584769455,Actuation,BDot,0,0,0,0,0,0
1584769459,Measurement,BDot,0,0,0,0,0,0
1584769488,Measurement,BDot,0,0,0,0,0,0
1584769493,Measurement,BDot,0,0,0,0,0,0
1584769503,Actuation,BDot,0,0,0,0,0,0
1584769507,Actuation,BDot,0,0,0,0,0,0
1584769512,Measurement,BDot,0,0,0,0,0,0
1584769522,Measurement,BDot,0,0,0,0,0,0
1584769531,Actuation,BDot,0,0,0,0,0,0
1584769536,Measurement,BDot,0,0,0,0,0,0
1584769541,Measurement,BDot,0,0,0,0,0,0
1584769546,Measurement,BDot,0,0,0,0,0,0
1584769551,Measurement,BDot,0,0,0,0,0,0
1584769555,Actuation,BDot,0,0,0,0,0,0
1584769560,Actuation,BDot,0,0,0,0,0,0
1584769570,Measurement,BDot,0,0,0,0,0,0
1584769574,Measurement,BDot,0,0,0,0,0,0
1584769579,Measurement,BDot,0,0,0,0,0,0
1584769589,Actuation,BDot,0,0,0,0,0,0
1584769594,Actuation,BDot,0,0,0,0,0,0
1584769603,Measurement,BDot,0,0,0,0,0,0
1584769608,Measurement,BDot,0,0,0,0,0,0
1584769613,Actuation,BDot,0,0,0,0,0,0
1584769618,Actuation,BDot,0,0,0,0,0,0
1584769622,Actuation,BDot,0,0,0,0,0,0
1584769627,Measurement,BDot,0,0,0,0,0,0
1584769632,Measurement,BDot,0,0,0,0,0,0
1584769637,Measurement,BDot,0,0,0,0,0,0
1584769642,Actuation,BDot,0,0,0,0,0,0
1584769651,Actuation,BDot,0,0,0,0,0,0
1584769661,Measurement,BDot,0,0,0,0,0,0
1584769666,Measurement,BDot,0,0,0,0,0,0
1584769670,Actuation,BDot,0,0,0,0,0,0
1584769680,Actuation,BDot,0,0,0,0,0,0
1584769690,Measurement,BDot,0,0,0,0,0,0
1584769699,Actuation,BDot,0,0,0,0,0,0
1584769709,Actuation,BDot,0,0,0,0,0,0
1584769714,Actuation,BDot,0,0,0,0,0,0
1584769718,Measurement,BDot,0,0,0,0,0,0
1584769723,Measurement,BDot,0,0,0,0,0,0
1584769728,Actuation,BDot,0,0,0,0,0,0
1584769733,Actuation,BDot,0,0,0,0,0,0
1584847411,Actuation,BDot,0,0,0,0,0,0
1584847425,Actuation,BDot,0,0,0,0,0,0
1584847430,Measurement,BDot,0,0,0,0,0,0
1584847435,Actuation,BDot,0,0,0,0,0,0
1584847439,Actuation,BDot,0,0,0,0,0,0
1584847444,Actuation,BDot,0,0,0,0,0,0
1584847449,Measurement,BDot,0,0,0,0,0,0
1584847454,Measurement,BDot,0,0,0,0,0,0
1584847459,Measurement,BDot,0,0,0,0,0,0
1584847463,Actuation,BDot,0,0,0,0,0,0
1584847468,Actuation,BDot,0,0,0,0,0,0
1584847478,Measurement,BDot,0,0,0,0,0,0
1584847482,Measurement,BDot,0,0,0,0,0,0
1584847487,Measurement,BDot,0,0,0,0,0,0
1584847492,Actuation,BDot,0,0,0,0,0,0
1584847497,Actuation,BDot,0,0,0,0,0,0
1584847502,Actuation,BDot,0,0,0,0,0,0
1584847506,Measurement,BDot,0,0,0,0,0,0
1584847511,Measurement,BDot,0,0,0,0,0,0
1584847516,Actuation,BDot,0,0,0,0,0,0
1584847521,Actuation,BDot,0,0,0,0,0,0
1584847526,Actuation,BDot,0,0,0,0,0,0
1584847530,Measurement,BDot,0,0,0,0,0,0
1584847540,Measurement,BDot,0,0,0,0,0,0
1584847545,Measurement,BDot,0,0,0,0,0,0
1584847550,Actuation,BDot,0,0,0,0,0,0
1584847554,Actuation,BDot,0,0,0,0,0,0
1584847559,Measurement,BDot,0,0,0,0,0,0
1584847564,Measurement,BDot,0,0,0,0,0,0
1584847569,Measurement,BDot,0,0,0,0,0,0
1584847574,Actuation,BDot,0,0,0,0,0,0
1584847578,Actuation,BDot,0,0,0,0,0,0
1584847583,Actuation,BDot,0,0,0,0,0,0
1584847588,Measurement,BDot,0,0,0,0,0,0
1584847598,Measurement,BDot,0,0,0,0,0,0
1584847602,Measurement,BDot,0,0,0,0,0,0
1584847607,Actuation,BDot,0,0,0,0,0,0
1584847612,Actuation,BDot,0,0,0,0,0,0
1584847636,Actuation,BDot,0,0,0,0,0,0
1584847641,Actuation,BDot,0,0,0,0,0,0
1584847646,Measurement,BDot,0,0,0,0,0,0
1584847650,Measurement,BDot,0,0,0,0,0,0
1584847660,Actuation,BDot,0,0,0,0,0,0
1584847665,Measurement,BDot,0,0,0,0,0,0
1584847670,Actuation,BDot,0,0,0,0,0,0
1584847674,Measurement,BDot,0,0,0,0,0,0
1584847679,Measurement,BDot,0,0,0,0,0,0
1584847684,Measurement,BDot,0,0,0,0,0,0
1584847689,Actuation,BDot,0,0,0,0,0,0
1584847693,Actuation,BDot,0,0,0,0,0,0
1584847698,Actuation,BDot,0,0,0,0,0,0
1584847703,Measurement,BDot,0,0,0,0,0,0
1584847708,Measurement,BDot,0,0,0,0,0,0
1584847717,Actuation,BDot,0,0,0,0,0,0
1584847722,Actuation,BDot,0,0,0,0,0,0
1584847727,Actuation,BDot,0,0,0,0,0,0
1584847732,Measurement,BDot,0,0,0,0,0,0
1584847737,Measurement,BDot,0,0,0,0,0,0
1584847741,Measurement,BDot,0,0,0,0,0,0
1584847746,Actuation,BDot,0,0,0,0,0,0
1584847751,Actuation,BDot,0,0,0,0,0,0
1584847756,Actuation,BDot,0,0,0,0,0,0
1584847761,Measurement,BDot,0,0,0,0,0,0
1584847765,Measurement,BDot,0,0,0,0,0,0
1584847770,Measurement,BDot,0,0,0,0,0,0
1584847780,Actuation,BDot,0,0,0,0,0,0
1584847785,Measurement,BDot,0,0,0,0,0,0
1584847789,Measurement,BDot,0,0,0,0,0,0
1584847794,Measurement,BDot,0,0,0,0,0,0
