time,X,Y,Z
1585016866,0,0,0
1585016871,0,0,0
1585016876,0,0,0
1585016881,0,0,0
1585016890,0,0,0
1585016895,0,0,0
1585016900,0,0,0
1585016905,0,0,0
1585016909,0,0,0
1585016919,0,0,0
1585016924,0,0,0
1585016929,0,0,0
1585016933,0,0,0
1585017092,0,0,0
1585017101,0,0,0
1585022142,0,0,0
1585022158,0,0,0
1585022159,0,0,0
1585022173,0,0,0
1585022178,0,0,0
1585022183,0,0,0
1585022279,0,0,0
1585022284,0,0,0
1585022288,0,0,0
1585022308,0,0,0
1585022313,0,0,0
1585022317,0,0,0
1585022322,0,0,0
1585022370,100,0,0
1585022380,100,0,0
1585022394,100,0,0
1585022399,100,0,0
1585022404,100,0,0
1585022409,100,0,0
1585022414,100,0,0
1585022418,100,0,0
1585022423,100,0,0
1585022428,100,0,0
1585022433,100,0,0
1585022437,100,0,0
1585022447,100,0,0
1585022452,100,0,0
1585022457,100,0,0
1585022466,100,0,0
1585022471,100,0,0
1585022476,100,0,0
1585022485,100,0,0
1585022500,0,100,0
1585022505,0,100,0
1585022509,0,100,0
1585022514,0,100,0
1585022519,0,100,0
1585022524,0,100,0
1585022529,0,100,0
1585022533,0,100,0
1585022538,0,100,0
1585022543,0,100,0
1585022548,0,100,0
1585022567,0,100,0
1585022572,0,100,0
1585022577,0,100,0
1585022581,0,100,0
1585022586,0,100,0
1585022591,0,100,0
1585022596,0,100,0
1585022601,0,100,0
1585022620,0,0,100
1585022625,0,0,100
1585022629,0,0,100
1585022634,0,0,100
1585022639,0,0,100
1585022644,0,0,100
1585022649,0,0,100
1585022653,0,0,100
1585022658,0,0,100
1585022663,0,0,100
1585022668,0,0,100
1585022677,0,0,100
1585022682,0,0,100
1585022687,0,0,100
1585022692,0,0,100
1585022696,0,0,100
1585022701,0,0,100
1585022706,0,0,100
1585022711,0,0,100
1585022716,0,0,100
1585022720,0,0,100
1585022725,-99,14,-99
1585022788,0,0,0
1585022797,0,0,0
1585022802,0,0,0
1585022807,0,0,0
1585022812,0,0,0
1585022816,0,0,0
1585022821,0,0,0
1585022826,0,0,0
1585022831,0,0,0
1585022836,0,0,0
1585022840,0,0,0
1585022845,0,0,0
1585022850,0,0,0
1585022864,0,0,0
1585022869,0,0,0
1585022874,0,0,0
1585022936,0,0,0
1585022951,0,0,0
1585022955,0,0,0
1585022960,0,0,0
1585022965,0,0,0
1585022970,0,0,0
1585022979,0,0,0
1585022984,0,0,0
1585022989,0,0,0
1585022994,0,0,0
1585022999,0,0,0
