time,SPAM_Off_Z_MTQ_X,SPAM_OFF_Z_MTQ_Y,SPAM_OFF_Z_MTQ_Z,Dipole_Gain_Y,Dipole_Gain_Z
1585456148,-4.260273972602739,0.5205479452054794,-2.9315068493150687,1.0,1.0
1585456206,-4.260273972602739,0.5205479452054794,-2.9315068493150687,1.0,1.0
1585456263,-4.260273972602739,0.5205479452054794,-2.9315068493150687,1.0,1.0
1585456321,-4.260273972602739,0.5205479452054794,-2.9315068493150687,1.0,1.0
1585456378,-4.260273972602739,0.5205479452054794,-2.9315068493150687,1.0,1.0
1585456436,-4.260273972602739,0.5205479452054794,-2.9315068493150687,1.0,1.0
1585456508,-4.260273972602739,0.5205479452054794,-2.9315068493150687,1.0,1.0
1585456565,-4.260273972602739,0.5205479452054794,-2.9315068493150687,1.0,1.0
1585456623,-4.260273972602739,0.5205479452054794,-2.9315068493150687,1.0,1.0
1585456680,-4.260273972602739,0.5205479452054794,-2.9315068493150687,1.0,1.0
1585456738,-4.260273972602739,0.5205479452054794,-2.9315068493150687,1.0,1.0
1585456810,-4.260273972602739,0.5205479452054794,-2.9315068493150687,1.0,1.0
1585456867,-4.260273972602739,0.5205479452054794,-2.9315068493150687,1.0,1.0
1585456925,-4.260273972602739,0.5205479452054794,-2.9315068493150687,1.0,1.0
1585456982,-4.260273972602739,0.5205479452054794,-2.9315068493150687,1.0,1.0
1585457040,-4.260273972602739,0.5205479452054794,-2.9315068493150687,1.0,1.0
1585457097,-4.260273972602739,0.5205479452054794,-2.9315068493150687,1.0,1.0
1585460822,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585460880,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585460937,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585461009,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585461067,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585461124,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585461182,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585461239,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585461297,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585461426,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585462088,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585462145,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585462203,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585462260,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585462318,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585462390,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585462447,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585462505,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585462562,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585462620,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585462677,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585462749,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585462807,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585462864,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585466819,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585466877,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585466949,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585467006,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585467064,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585467236,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585467308,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585467840,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585467898,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585467970,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585468027,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585468085,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585468142,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585468200,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585468257,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585468329,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585468387,1.36986301369863,-6.465753424657534,4.575342465753424,1.0,1.0
1585472888,3.0136986301369864,-1.904109589041096,-1.3287671232876712,1.0,1.0
1585484710,-4.219178082191781,-0.1232876712328767,3.8493150684931505,1.0,1.0
1585484825,-4.219178082191781,-0.1232876712328767,3.8493150684931505,1.0,1.0
1585484997,-4.219178082191781,-0.1232876712328767,3.8493150684931505,1.0,1.0
1585489326,3.356164383561644,0.7534246575342466,4.328767123287672,1.0,1.0
1585489556,3.356164383561644,0.7534246575342466,4.328767123287672,1.0,1.0
1585490520,3.356164383561644,0.7534246575342466,4.328767123287672,1.0,1.0
1585490577,3.356164383561644,0.7534246575342466,4.328767123287672,1.0,1.0
1585490649,3.356164383561644,0.7534246575342466,4.328767123287672,1.0,1.0
1585490764,3.356164383561644,0.7534246575342466,4.328767123287672,1.0,1.0
1585490822,3.356164383561644,0.7534246575342466,4.328767123287672,1.0,1.0
1585490937,3.356164383561644,0.7534246575342466,4.328767123287672,1.0,1.0
1585491009,3.356164383561644,0.7534246575342466,4.328767123287672,1.0,1.0
1585495208,0.6027397260273972,-3.7260273972602738,7.575342465753424,1.0,1.0
1585495266,0.6027397260273972,-3.7260273972602738,7.575342465753424,1.0,1.0
1585495323,0.6027397260273972,-3.7260273972602738,7.575342465753424,1.0,1.0
1585495438,0.6027397260273972,-3.7260273972602738,7.575342465753424,1.0,1.0
1585500716,-1.3287671232876712,-5.3561643835616435,1.8630136986301369,1.0,1.0
1585500788,-1.3287671232876712,-5.3561643835616435,1.8630136986301369,1.0,1.0
1585500845,-1.3287671232876712,-5.3561643835616435,1.8630136986301369,1.0,1.0
1585500903,-1.3287671232876712,-5.3561643835616435,1.8630136986301369,1.0,1.0
1585500961,-1.3287671232876712,-5.3561643835616435,1.8630136986301369,1.0,1.0
1585501018,-1.3287671232876712,-5.3561643835616435,1.8630136986301369,1.0,1.0
1585501090,-1.3287671232876712,-5.3561643835616435,1.8630136986301369,1.0,1.0
1585501147,-1.3287671232876712,-5.3561643835616435,1.8630136986301369,1.0,1.0
1585501205,-1.3287671232876712,-5.3561643835616435,1.8630136986301369,1.0,1.0
1585501263,-1.3287671232876712,-5.3561643835616435,1.8630136986301369,1.0,1.0
1585501320,-1.3287671232876712,-5.3561643835616435,1.8630136986301369,1.0,1.0
1585501449,-1.3287671232876712,-5.3561643835616435,1.8630136986301369,1.0,1.0
1585503190,-1.3287671232876712,-5.3561643835616435,1.8630136986301369,1.0,1.0
