time,X1,Y1,G1,G2,G3,G4,G5,G6,G7,G8,G9,GA,Checksum
1581458178,78,18,0xc,0xd,0xd,0xd,0xd,0xd,0xd,0xe,0xe,0xe,0x2a
1581458183,82,22,0xe,0xe,0xe,0xe,0xe,0xe,0xe,0xe,0xe,0xe,0x9b
1581458188,86,26,0xe,0xe,0xe,0xe,0xe,0xe,0xe,0xe,0xe,0xe,0xdb
1581458193,90,50,0xb,0xb,0xc,0xb,0xb,0xc,0xb,0xb,0xb,0xb,0xea
1581458197,94,54,0x5,0x5,0x5,0x5,0x5,0x5,0x5,0x5,0x5,0x5,0xea
1581458202,2,2,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0x64
1581458207,6,6,0x3,0x3,0x3,0x3,0x3,0x3,0x3,0x3,0x3,0x3,0x93
1581458212,10,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xc8
1581458217,14,34,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x9
1581458221,18,38,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x49
1581458226,23,8,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x53
1581458231,27,12,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x93
1581458236,31,36,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xfb
1581458241,35,40,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x3c
1581458245,39,44,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x7c
1581458250,44,4,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x9b
1581458255,48,8,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xb2
1581458260,52,32,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1b
1581458264,56,36,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x5b
1581458269,60,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xaf
1581458274,65,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x91
1581458279,69,4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xd1
1581458284,73,38,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x4e
1581458288,77,42,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x8e
1581458293,82,2,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0xa6
1581458298,86,6,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0xe6
1581458303,90,10,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x5
1581458308,94,34,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6d
1581458312,1,36,0x3,0x3,0x3,0x3,0x3,0x3,0x3,0x3,0x3,0x3,0x89
1581458317,6,6,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x82
1581458322,10,10,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xa0
1581458327,14,14,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xe0
1581458332,18,38,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x49
1581458336,22,42,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x89
1581458341,27,2,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x7f
1581458346,31,6,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xbf
1581458351,35,20,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x14
1581458356,39,34,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x68
1581458360,43,38,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xa8
1581458365,48,8,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xb2
1581458370,52,12,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xf2
1581458375,56,36,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x5b
1581458380,60,40,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x9b
1581458384,64,44,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xdb
1581458389,69,4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xd1
1581458394,73,8,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x12
1581458399,77,32,0x3,0x3,0x3,0x3,0x3,0x2,0x2,0x2,0x2,0x2,0xb2
1581458403,81,36,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x32
1581458408,85,60,0x7,0x7,0x7,0x7,0x8,0x8,0x8,0x8,0x8,0x8,0x67
1581458413,90,10,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0x49
1581458418,94,14,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x45
1581458423,1,36,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x56
1581458427,5,40,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x96
1581458432,10,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x8c
1581458437,14,4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xcc
1581458442,18,8,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xd
1581458447,22,42,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x89
1582573304,3,28,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0xfb
1582573309,7,22,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x28
1582573314,11,46,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x90
1582573319,15,50,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0xd0
1582573323,19,54,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x11
1582573328,24,4,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0xf2
1582573333,27,62,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x91
1582573338,32,22,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x87
1582573342,36,26,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0xc7
1582573347,40,50,0x9,0x9,0x9,0x8,0x8,0x8,0x7,0x8,0x8,0x9,0xcd
1582573352,44,54,0x9,0x9,0x9,0xa,0x9,0x9,0x9,0x9,0x9,0x9,0x3c
1582573357,49,14,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x66
1582573362,53,8,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x92
1582573366,57,22,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0xe6
1582573371,61,36,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x3b
1582573376,65,40,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x7b
1582573381,70,0,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x71
1582573386,73,58,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x10
1582573390,78,18,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x6
1582573395,82,22,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x9,0x46
1582573400,86,46,0x5,0x5,0x5,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0xd1
1582573405,90,50,0x1,0x1,0x1,0x1,0x1,0x1,0x0,0x0,0x0,0x0,0x88
1582573410,94,54,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x95
1582573414,2,2,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0xa8
