time,Battery_Voltage_Avg,COM1_Current_Avg,Temperature_Avg
1581163462,6.855779795837402,0.2978515625,30.29
1581163526,6.891018962097168,0.2861328125,30.64
1581163590,6.894542878723144,0.28173828125,31.02
1581163654,6.882209170532226,0.28955078125,31.23
1581163718,6.9139244201660155,0.28173828125,31.31
1581163782,6.88925700378418,0.27294921875,31.43
1581163846,6.892780920410156,0.265625,31.44
1581163910,6.912162461853027,0.2802734375,31.52
1581163974,6.866351545715332,0.26513671875,31.5
1581164038,6.8575417541503905,0.27490234375,31.5
1581164102,6.859303712463379,0.2978515625,31.55
1581164166,6.8205406295776365,0.28857421875,31.54
1581164230,6.841684129333496,0.29052734375,31.55
1581164294,6.855779795837402,0.3095703125,31.57
1581164358,6.880447212219238,0.3095703125,31.61
1581164422,6.846970004272461,0.30810546875,31.79
1581164486,6.841684129333496,0.30859375,31.86
1581164550,6.832874337768555,0.30908203125,31.95
1581164614,6.8575417541503905,0.3076171875,32.09
1581164678,6.831112379455567,0.3076171875,32.16
1581164742,6.827588462829589,0.3076171875,32.25
1581164806,6.832874337768555,0.3076171875,32.3
1581164870,6.829350421142578,0.30517578125,32.46
1581164934,6.880447212219238,0.30322265625,32.78
1581164998,6.838160212707519,0.30517578125,33.25
1581165062,6.839922171020508,0.3037109375,33.83
1581165126,6.922734211730957,0.30517578125,34.03
1581165190,6.91921029510498,0.30517578125,34.29
1581165254,6.922734211730957,0.3046875,34.55
1581165318,6.808206921386718,0.3056640625,35.08
1581165382,6.836398254394531,0.3046875,35.33
1581165446,6.8487319625854495,0.30419921875,35.63
1581165510,6.832874337768555,0.30419921875,35.88
1581165574,6.845208045959472,0.3037109375,36.14
1581165638,6.869875462341309,0.30029296875,36.32
1581165702,6.843446087646484,0.30322265625,36.59
1581165766,6.804683004760742,0.30322265625,36.98
1581165830,6.829350421142578,0.30029296875,37.21
1581165894,6.795873213195801,0.30078125,37.05
1581165958,6.757110130310059,0.2998046875,36.81
1581166022,6.734204672241211,0.2998046875,36.53
1581166086,6.716585089111328,0.30078125,36.29
1581166150,6.706013339233398,0.29833984375,36.01
1581166214,6.697203547668457,0.29931640625,35.7
1581166278,6.688393756103515,0.29638671875,35.08
1581166342,6.684869839477539,0.2958984375,34.73
1581166406,6.683107881164551,0.3017578125,34.38
1581166470,6.681345922851563,0.2978515625,34.13
1581166534,6.679583964538574,0.302734375,33.71
1581166598,6.679583964538574,0.30224609375,33.36
1581166662,6.677822006225586,0.302734375,33.0
1581166726,6.677822006225586,0.30322265625,32.63
1581166790,6.677822006225586,0.30322265625,32.21
1581166854,6.676060047912598,0.3037109375,31.82
1581166918,6.676060047912598,0.3037109375,31.46
1581166982,6.674298089599609,0.30419921875,31.1
1581167046,6.674298089599609,0.30419921875,30.74
1581167110,6.672536131286621,0.3046875,30.34
1581167174,6.672536131286621,0.3056640625,30.01
1581167238,6.672536131286621,0.3056640625,29.6
1581167302,6.6707741729736325,0.306640625,28.9
1581167366,6.669012214660644,0.306640625,28.56
1581167430,6.669012214660644,0.3056640625,28.21
1581167494,6.669012214660644,0.30419921875,27.86
1581167558,6.667250256347656,0.30517578125,27.46
1581167622,6.667250256347656,0.3046875,27.12
1581167686,6.711299214172363,0.3056640625,26.85
1581167750,6.735966630554199,0.27978515625,26.72
1581167814,6.757110130310059,0.2626953125,26.69
1581167878,6.767681880187988,0.26318359375,26.62
1581167942,6.7641579635620115,0.26806640625,26.69
1581168006,6.767681880187988,0.29541015625,26.84
1581168070,6.772967755126953,0.265625,27.15
1581168134,6.769443838500976,0.271484375,27.43
1581168198,6.774729713439942,0.27001953125,27.97
1581168262,6.771205796813965,0.2705078125,28.12
1581168326,6.769443838500976,0.2705078125,28.21
1581168390,6.769443838500976,0.27099609375,28.29
1581168454,6.778253630065918,0.271484375,28.32
1581168518,6.778253630065918,0.27197265625,28.44
1581168582,6.772967755126953,0.27294921875,28.63
1581168646,6.778253630065918,0.30029296875,28.81
1581168710,6.781777546691894,0.3037109375,28.95
1581168774,6.781777546691894,0.3115234375,29.14
1581168838,6.7923492965698244,0.3046875,29.22
1581168902,6.8117308380126955,0.30615234375,29.27
1581168966,6.825826504516601,0.31494140625,29.44
1581169030,6.854017837524414,0.3056640625,29.6
1581169094,6.892780920410156,0.314453125,29.73
1581169158,6.903352670288085,0.3134765625,29.86
1581169222,6.809968879699707,0.31005859375,29.78
1581169286,6.8487319625854495,0.310546875,29.77
1581169350,6.818778671264648,0.3046875,29.73
1581169414,6.845208045959472,0.310546875,29.71
1581169478,6.875161337280273,0.2978515625,29.73
1581169542,6.846970004272461,0.29833984375,29.75
1581169606,6.808206921386718,0.28076171875,29.72
1581169670,6.829350421142578,0.28173828125,29.77
1581169734,6.808206921386718,0.28857421875,29.78
1581169798,6.8681135040283205,0.287109375,29.82
1581169862,6.935067919921875,0.294921875,29.92
1581169926,6.9614972946166995,0.291015625,30.12
1581169990,6.977354919433593,0.2890625,30.24
1581170054,6.989688627624512,0.302734375,30.3
1581170118,6.920972253417968,0.30712890625,30.59
1581170182,6.873399378967285,0.3095703125,30.7
1581170246,6.829350421142578,0.31005859375,30.77
1581170310,6.839922171020508,0.3095703125,30.93
1581170374,6.829350421142578,0.3095703125,31.13
1581170438,6.808206921386718,0.31005859375,31.25
1581170502,6.839922171020508,0.30908203125,31.26
1581170566,6.804683004760742,0.3076171875,31.48
1581170630,6.8117308380126955,0.30908203125,31.67
1581170694,6.852255879211426,0.30810546875,31.86
1581170758,6.859303712463379,0.30712890625,32.1
1581170822,6.850493920898438,0.30712890625,32.5
1581170886,6.898066795349121,0.30517578125,32.67
1581170950,6.822302587890625,0.306640625,32.75
1581171014,6.788825379943847,0.30615234375,33.03
1581171078,6.824064546203613,0.3046875,33.15
1581171142,6.794111254882813,0.3056640625,33.32
1581171206,6.80644496307373,0.3037109375,33.45
1581171270,6.841684129333496,0.30615234375,33.48
1581171334,6.8575417541503905,0.30615234375,33.53
1581171398,6.8487319625854495,0.30615234375,33.67
1581171462,6.892780920410156,0.3056640625,33.76
1581171526,6.827588462829589,0.30615234375,33.7
1581171590,6.778253630065918,0.3056640625,33.58
1581171654,6.746538380432129,0.3046875,33.36
1581171718,6.725394880676269,0.30517578125,33.2
1581171782,6.711299214172363,0.30517578125,32.94
1581171846,6.700727464294434,0.3056640625,32.68
1581171910,6.69367963104248,0.30517578125,32.29
1581171974,6.688393756103515,0.3046875,31.99
1581172038,6.683107881164551,0.306640625,31.33
1581172102,6.681345922851563,0.30615234375,31.0
1581172166,6.679583964538574,0.30517578125,30.66
1581172230,6.677822006225586,0.302734375,30.35
