time,Node_Voltage_Min,Node_Voltage_Max,Node_Voltage_Avg
1587548025,3.3000000000000003,3.516,3.348
1587549952,3.3000000000000003,3.516,3.352
1587550010,3.3000000000000003,3.516,3.352
1587550125,3.3000000000000003,3.516,3.3280000000000003
1587550312,3.3000000000000003,3.516,3.36
1587550901,3.3000000000000003,3.516,3.364
1587550973,3.3000000000000003,3.516,3.368
1587551031,3.3000000000000003,3.516,3.368
1587551088,3.3000000000000003,3.516,3.368
1587551146,3.3000000000000003,3.516,3.372
1587551203,3.3000000000000003,3.516,3.372
1587551275,3.3000000000000003,3.516,3.376
1587553490,3.3000000000000003,3.516,3.356
1587553663,3.3000000000000003,3.516,3.34
1587553907,3.3000000000000003,3.516,3.332
1587555762,3.3000000000000003,3.516,3.352
1587555834,3.3000000000000003,3.516,3.34
1587555892,3.3000000000000003,3.516,3.348
1587555949,3.3000000000000003,3.516,3.344
1587556007,3.3000000000000003,3.516,3.336
1587556064,3.3000000000000003,3.516,3.332
1587556122,3.3000000000000003,3.516,3.3280000000000003
1587556194,3.3000000000000003,3.516,3.332
1587556251,3.3000000000000003,3.516,3.332
1587556309,3.3000000000000003,3.516,3.344
1587556366,3.3000000000000003,3.516,3.352
1587556668,3.3000000000000003,3.516,3.368
1587556726,3.3000000000000003,3.516,3.368
1587556783,3.3000000000000003,3.516,3.36
1587556855,3.3000000000000003,3.516,3.348
1587556913,3.3000000000000003,3.516,3.348
1587556970,3.3000000000000003,3.516,3.36
1587557028,3.3000000000000003,3.516,3.368
1587557085,3.3000000000000003,3.516,3.376
1587557272,3.3000000000000003,3.516,3.38
1587559487,3.3000000000000003,3.516,3.34
1587561414,3.3000000000000003,3.516,3.34
1587561472,3.3000000000000003,3.516,3.332
1587561529,3.3000000000000003,3.516,3.3280000000000003
1587561587,3.3000000000000003,3.516,3.336
1587561702,3.3000000000000003,3.516,3.352
1587561774,3.3000000000000003,3.516,3.36
1587561831,3.3000000000000003,3.516,3.356
1587561889,3.3000000000000003,3.516,3.352
1587561946,3.3000000000000003,3.516,3.352
1587562004,3.3000000000000003,3.516,3.36
1587562076,3.3000000000000003,3.516,3.372
1587562133,3.3000000000000003,3.516,3.372
1587562191,3.3000000000000003,3.516,3.372
1587562248,3.3000000000000003,3.516,3.376
1587562306,3.3000000000000003,3.516,3.38
1587562363,3.3000000000000003,3.516,3.376
1587562608,3.3000000000000003,3.516,3.36
1587562665,3.3000000000000003,3.516,3.372
1587562723,3.3000000000000003,3.516,3.38
1587562795,3.3000000000000003,3.516,3.38
1587562967,3.3000000000000003,3.516,3.4
1587565426,3.3000000000000003,3.516,3.332
1587565542,3.3000000000000003,3.516,3.3280000000000003
1587567224,3.3000000000000003,3.516,3.344
1587567282,3.3000000000000003,3.516,3.352
1587567354,3.3000000000000003,3.516,3.356
1587567411,3.3000000000000003,3.516,3.356
1587567469,3.3000000000000003,3.516,3.344
1587567526,3.3000000000000003,3.516,3.348
1587567584,3.3000000000000003,3.516,3.356
1587567656,3.3000000000000003,3.516,3.364
1587567713,3.3000000000000003,3.516,3.364
1587567771,3.3000000000000003,3.516,3.368
1587567828,3.3000000000000003,3.516,3.372
1587567886,3.3000000000000003,3.516,3.368
1587567943,3.3000000000000003,3.516,3.376
1587568015,3.3000000000000003,3.516,3.376
1587568073,3.3000000000000003,3.516,3.38
1587568130,3.3000000000000003,3.516,3.384
1587572804,3.3000000000000003,3.516,3.356
1587573049,3.3000000000000003,3.516,3.364
1587573106,3.3000000000000003,3.516,3.36
1587573164,3.3000000000000003,3.516,3.364
1587573236,3.3000000000000003,3.516,3.368
1587573293,3.3000000000000003,3.516,3.368
1587573351,3.3000000000000003,3.516,3.368
1587573408,3.3000000000000003,3.516,3.368
1587573466,3.3000000000000003,3.516,3.364
1587573523,3.3000000000000003,3.516,3.36
1587573595,3.3000000000000003,3.516,3.364
1587573653,3.3000000000000003,3.516,3.368
1587573710,3.3000000000000003,3.516,3.372
1587573768,3.3000000000000003,3.516,3.372
1587573825,3.3000000000000003,3.516,3.376
1587573883,3.3000000000000003,3.516,3.38
1587573955,3.3000000000000003,3.516,3.38
1587574012,3.3000000000000003,3.516,3.38
1587574070,3.3000000000000003,3.516,3.38
1587574127,3.3000000000000003,3.516,3.38
1587578930,3.3000000000000003,3.516,3.364
1587578988,3.3000000000000003,3.516,3.364
1587579045,3.3000000000000003,3.516,3.364
1587579103,3.3000000000000003,3.516,3.364
1587579175,3.3000000000000003,3.516,3.368
1587579232,3.3000000000000003,3.516,3.368
1587579290,3.3000000000000003,3.516,3.372
1587579348,3.3000000000000003,3.516,3.376
1587579405,3.3000000000000003,3.516,3.368
1587579463,3.3000000000000003,3.516,3.364
1587579534,3.3000000000000003,3.516,3.372
1587579592,3.3000000000000003,3.516,3.376
1587579650,3.3000000000000003,3.516,3.368
1587579707,3.3000000000000003,3.516,3.36
1587579765,3.3000000000000003,3.516,3.36
1587579822,3.3000000000000003,3.516,3.364
1587579894,3.3000000000000003,3.516,3.364
1587579952,3.3000000000000003,3.516,3.356
1587584927,3.3000000000000003,3.516,3.344
1587584985,3.3000000000000003,3.516,3.352
1587585042,3.3000000000000003,3.516,3.368
1587585114,3.3000000000000003,3.516,3.376
1587585172,3.3000000000000003,3.516,3.396
1587585229,3.3000000000000003,3.516,3.408
1587585287,3.3000000000000003,3.516,3.412
1587585344,3.3000000000000003,3.516,3.412
1587585402,3.3000000000000003,3.516,3.412
1587585474,3.3000000000000003,3.516,3.416
1587585531,3.3000000000000003,3.516,3.436
