time,SPAM_Magnitude_X,SPAM_Magnitude_Y,SPAM_Magnitude_Z,SPAM_Off_X_MTQ_X,SPAM_Off_X_MTQ_Y,Dipole_Gain_X
1587716430,100,100,100,6.726027397260274,-5.205479452054795,1.0
1587716487,100,100,100,6.726027397260274,-5.205479452054795,1.0
1587719809,100,100,100,6.726027397260274,-5.205479452054795,1.0
1587719852,100,100,100,6.726027397260274,-5.205479452054795,1.0
1587719910,100,100,100,6.726027397260274,-5.205479452054795,1.0
1587719968,100,100,100,6.726027397260274,-5.205479452054795,1.0
1587720039,100,100,100,6.726027397260274,-5.205479452054795,1.0
1587720097,100,100,100,6.726027397260274,-5.205479452054795,1.0
1587720155,100,100,100,6.726027397260274,-5.205479452054795,1.0
1587720212,100,100,100,6.726027397260274,-5.205479452054795,1.0
1587722197,100,100,100,6.726027397260274,-5.205479452054795,1.0
1587722254,100,100,100,6.726027397260274,-5.205479452054795,1.0
1587722312,100,100,100,6.726027397260274,-5.205479452054795,1.0
1587722369,100,100,100,6.726027397260274,-5.205479452054795,1.0
1587722513,100,100,100,6.726027397260274,-5.205479452054795,1.0
1587722556,100,100,100,6.726027397260274,-5.205479452054795,1.0
1587724598,100,100,100,1.8630136986301369,-10.89041095890411,1.0
1587724656,100,100,100,1.8630136986301369,-10.89041095890411,1.0
1587724713,100,100,100,1.8630136986301369,-10.89041095890411,1.0
1587724771,100,100,100,1.8630136986301369,-10.89041095890411,1.0
1587724828,100,100,100,1.8630136986301369,-10.89041095890411,1.0
1587724900,100,100,100,1.8630136986301369,-10.89041095890411,1.0
1587724958,100,100,100,1.8630136986301369,-10.89041095890411,1.0
1587725015,100,100,100,1.8630136986301369,-10.89041095890411,1.0
1587725073,100,100,100,1.8630136986301369,-10.89041095890411,1.0
1587725130,100,100,100,1.8630136986301369,-10.89041095890411,1.0
1587725188,100,100,100,1.8630136986301369,-10.89041095890411,1.0
1587725260,100,100,100,1.8630136986301369,-10.89041095890411,1.0
1587725548,100,100,100,1.8630136986301369,-10.89041095890411,1.0
1587725619,100,100,100,1.8630136986301369,-10.89041095890411,1.0
1587725677,100,100,100,1.8630136986301369,-10.89041095890411,1.0
1587725735,100,100,100,1.8630136986301369,-10.89041095890411,1.0
1587725907,100,100,100,1.8630136986301369,-10.89041095890411,1.0
1587726037,100,100,100,1.8630136986301369,-10.89041095890411,1.0
1587726281,100,100,100,1.8630136986301369,-10.89041095890411,1.0
1587726339,100,100,100,1.8630136986301369,-10.89041095890411,1.0
1587728309,100,100,100,1.8630136986301369,-10.89041095890411,1.0
1587728553,100,100,100,1.8630136986301369,-10.89041095890411,1.0
1587728611,100,100,100,1.8630136986301369,-10.89041095890411,1.0
1587728668,100,100,100,1.8630136986301369,-10.89041095890411,1.0
1587730408,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587730480,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587730552,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587730595,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587730653,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587730710,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587730768,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587730840,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587730897,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587730955,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587731027,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587731084,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587731127,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587731487,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587731559,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587731616,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587731732,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587731789,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587731861,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587731976,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587732091,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587734133,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587734320,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587734507,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587734608,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587736003,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587736060,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587736118,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587736175,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587736233,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587736290,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587736348,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587736477,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587736535,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587736592,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587736650,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587736707,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587736794,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587736837,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587736894,100,100,100,1.095890410958904,-8.273972602739725,1.0
1587740087,100,100,100,-3.808219178082192,-7.698630136986301,1.0
1587740130,100,100,100,-3.808219178082192,-7.698630136986301,1.0
1587740188,100,100,100,-3.808219178082192,-7.698630136986301,1.0
1587740432,100,100,100,-3.808219178082192,-7.698630136986301,1.0
1587740490,100,100,100,-3.808219178082192,-7.698630136986301,1.0
1587741640,100,100,100,-3.808219178082192,-7.698630136986301,1.0
1587741928,100,100,100,-3.808219178082192,-7.698630136986301,1.0
1587742000,100,100,100,-3.808219178082192,-7.698630136986301,1.0
1587742057,100,100,100,-3.808219178082192,-7.698630136986301,1.0
1587742115,100,100,100,-3.808219178082192,-7.698630136986301,1.0
1587742172,100,100,100,-3.808219178082192,-7.698630136986301,1.0
1587742230,100,100,100,-3.808219178082192,-7.698630136986301,1.0
1587742287,100,100,100,-3.808219178082192,-7.698630136986301,1.0
1587742374,100,100,100,-3.808219178082192,-7.698630136986301,1.0
1587742417,100,100,100,-3.808219178082192,-7.698630136986301,1.0
1587742474,100,100,100,-3.808219178082192,-7.698630136986301,1.0
1587742532,100,100,100,-3.808219178082192,-7.698630136986301,1.0
1587742589,100,100,100,-3.808219178082192,-7.698630136986301,1.0
1587742647,100,100,100,-3.808219178082192,-7.698630136986301,1.0
1587742719,100,100,100,-3.808219178082192,-7.698630136986301,1.0
1587742791,100,100,100,-3.808219178082192,-7.698630136986301,1.0
1587742834,100,100,100,-3.808219178082192,-7.698630136986301,1.0
1587742891,100,100,100,-3.808219178082192,-7.698630136986301,1.0
1587745955,100,100,100,0.8904109589041096,-7.917808219178082,1.0
1587746012,100,100,100,0.8904109589041096,-7.917808219178082,1.0
1587746199,100,100,100,0.8904109589041096,-7.917808219178082,1.0
1587746372,100,100,100,0.8904109589041096,-7.917808219178082,1.0
1587747810,100,100,100,0.8904109589041096,-7.917808219178082,1.0
1587747867,100,100,100,0.8904109589041096,-7.917808219178082,1.0
1587747939,100,100,100,0.8904109589041096,-7.917808219178082,1.0
1587747997,100,100,100,0.8904109589041096,-7.917808219178082,1.0
1587748054,100,100,100,0.8904109589041096,-7.917808219178082,1.0
1587748112,100,100,100,0.8904109589041096,-7.917808219178082,1.0
1587748169,100,100,100,0.8904109589041096,-7.917808219178082,1.0
1587748227,100,100,100,0.8904109589041096,-7.917808219178082,1.0
1587748299,100,100,100,0.8904109589041096,-7.917808219178082,1.0
1587748356,100,100,100,0.8904109589041096,-7.917808219178082,1.0
1587748414,100,100,100,0.8904109589041096,-7.917808219178082,1.0
1587748471,100,100,100,0.8904109589041096,-7.917808219178082,1.0
1587748529,100,100,100,0.8904109589041096,-7.917808219178082,1.0
1587748601,100,100,100,0.8904109589041096,-7.917808219178082,1.0
1587748658,100,100,100,0.8904109589041096,-7.917808219178082,1.0
1587748716,100,100,100,0.8904109589041096,-7.917808219178082,1.0
1587748773,100,100,100,0.8904109589041096,-7.917808219178082,1.0
1587748831,100,100,100,0.8904109589041096,-7.917808219178082,1.0
1587753648,100,100,100,0.7945205479452054,-7.684931506849315,1.0
1587753835,100,100,100,0.7945205479452054,-7.684931506849315,1.0
1587753879,100,100,100,0.7945205479452054,-7.684931506849315,1.0
1587753936,100,100,100,0.7945205479452054,-7.684931506849315,1.0
1587753994,100,100,100,0.7945205479452054,-7.684931506849315,1.0
1587754051,100,100,100,0.7945205479452054,-7.684931506849315,1.0
1587754109,100,100,100,0.7945205479452054,-7.684931506849315,1.0
1587754181,100,100,100,0.7945205479452054,-7.684931506849315,1.0
1587754238,100,100,100,0.7945205479452054,-7.684931506849315,1.0
1587754310,100,100,100,0.7945205479452054,-7.684931506849315,1.0
1587754353,100,100,100,0.7945205479452054,-7.684931506849315,1.0
1587754411,100,100,100,0.7945205479452054,-7.684931506849315,1.0
1587754468,100,100,100,0.7945205479452054,-7.684931506849315,1.0
1587754540,100,100,100,0.7945205479452054,-7.684931506849315,1.0
1587754598,100,100,100,0.7945205479452054,-7.684931506849315,1.0
1587754655,100,100,100,0.7945205479452054,-7.684931506849315,1.0
1587754713,100,100,100,0.7945205479452054,-7.684931506849315,1.0
1587754770,100,100,100,0.7945205479452054,-7.684931506849315,1.0
1587759574,100,100,100,0.7945205479452054,-7.684931506849315,1.0
1587759631,100,100,100,0.7945205479452054,-7.684931506849315,1.0
1587759741,100,100,100,0.7945205479452054,-7.684931506849315,1.0
1587759808,100,100,100,0.7945205479452054,-7.684931506849315,1.0
1587759875,100,100,100,0.7945205479452054,-7.684931506849315,1.0
1587759990,100,100,100,0.7945205479452054,-7.684931506849315,1.0
1587760048,100,100,100,0.7945205479452054,-7.684931506849315,1.0
1587760110,100,100,100,0.7945205479452054,-7.684931506849315,1.0
1587760168,100,100,100,0.7945205479452054,-7.684931506849315,1.0
1587760230,100,100,100,0.7945205479452054,-7.684931506849315,1.0
1587760288,100,100,100,0.7945205479452054,-7.684931506849315,1.0
1587765562,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587765634,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587765691,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587765806,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587765878,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587765921,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587771386,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587771444,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587782244,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587782302,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587782374,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587788127,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587788198,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587788256,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587792743,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587792815,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587792873,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587798323,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587798381,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587798453,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587798510,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587798568,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587798625,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587798683,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587798755,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587798812,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587798870,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587800783,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587800854,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587800970,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587801027,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587801085,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587801156,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587803616,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587803659,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587804148,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587804205,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587804277,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587804320,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587804392,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587804450,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587804507,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587804565,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587804622,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587804694,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587804752,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587804795,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587806550,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587806607,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587806665,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587806737,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587806794,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587806837,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587806909,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587806981,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587807024,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587809066,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587809124,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587809196,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587809253,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587809311,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587809368,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587809426,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587809483,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587810088,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587810145,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587810203,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587810274,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587810332,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587810375,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587810447,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587810505,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587810576,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587810692,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587812719,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587812791,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587812849,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587812906,100,100,100,4.178082191780822,-8.123287671232877,1.0
